"","user_name","user_location","user_description","user_created","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","source","is_retweet"
"23","JB","vermont","R.N.-Retired. Wife to super smart & humble guy, Mom to 4 great kids. Catholic, Pro-Life. #SCOTUS #resister #votebluenomatterwho #marchforourlives #resistance <U+0001F30A>","2013-09-23 13:12:29",3187,4722,9490,"False","2020-07-25 12:11:56","Oh for fvck¡¯s sake @CNN @sarahcwestwood STOP WITH THE BS. #trump has not changed his tone. So @FoxNews. 
#CNN weeke¡­ https://t.co/4DVBg0cCqF","['trump', 'CNN']","Twitter for iPhone","False"
"24","Wood Inn Birdhouses","florida","Proudly Made and Hand Crafted in USA by Wood Inn Birdhouses using NW, US Reforested Premium Inland Cedar and SE, US Reforested Selected Natural Whitewood Boards","2020-04-17 16:10:11",2,19,60,"False","2020-07-25 12:11:45","@NYCAudubon #Audubon #SaturdayMorning #SaturdayVibes #COVID19 #SaturdayThoughts #SaturdayMotivation #free shipping¡­ https://t.co/VUTtHfSyPo","['Audubon', 'SaturdayMorning', 'SaturdayVibes', 'COVID19', 'SaturdayThoughts', 'SaturdayMotivation', 'free']","Twitter for iPhone","False"
"25","TinkerLane <U+0001F637> Mask/Handwashing/Distance <U+26BD><U+0001F5FD><U+0001F30C><U+0001F377><U+0001F40B><U+0001F30A>","virginia","Luv travel w. wife; lib male; #MFImpeached #Resist #PRU #VoteBlueNoMatterWho #EradicateGOP<U+0001F30A>. Unfollow begets unfollow. MAGAts blocked","2009-02-23 21:32:38",4809,4920,2021,"False","2020-07-25 12:11:44","The #OrangeBaboon wants to make sure we have over 150K dead from #COVID19 before the end of July!

7/24: 148490 dea¡­ https://t.co/cOVtyFoRrL","['OrangeBaboon', 'COVID19']","Twitter Web App","False"
"26","Samia Ali Salama","pennsylvania","Mother #veteran #liberal #atheist #poet, #LGBTQ ally. Lover of peoples and languages. NYer, born 1955. #VoteBlue #BLM https://t.co/UcVhJ09i6I","2009-10-27 13:30:12",3134,2794,90437,"False","2020-07-25 12:11:34","@forwardarc @realDonaldTrump @VP If the U.S. doesn¡¯t lock down, we¡¯re stupid, and will reap what we sowed. 
And I c¡­ https://t.co/7hwD0gcNOt","","Twitter for iPhone","False"
"27","Dani, MPH","new york","Master of Public Health UIC SPH 2009<U+2022> mom<U+2022>wife<U+2022>trekkie<U+2022>atheist<U+2022>bibliophile<U+2022>string player<U+2022>INTP<U+2022>animals<U+2022>art<U+2022>music<U+2022>nature #Lupus #M4A #Resist #WearAMask #BLM","2011-07-27 17:45:30",4049,3852,31465,"False","2020-07-25 12:10:03","Fear is an effective strategy. #Knowthefacts. Protect your children because he doesn't care about them. He will use¡­ https://t.co/CRJJXJXqcs","['Knowthefacts']","Twitter for Android","False"
"28","Ben Foerg","california","songwriter, multi-instrumentalist / amateur podcast host / centrist-libertarian / @theabsurdband","2014-07-29 21:52:20",235,241,5981,"False","2020-07-25 12:09:17","You don¡¯t see a lot of articles about granny or grandpa dying of #COVID19 ... Because they¡¯re not newsworthy. 

Art¡­ https://t.co/otKC4xRUNl","['COVID19']","Twitter for iPhone","False"
"29","Lukas Lee <U+0001F918><U+0001F3FB>","michigan","¡°There cannot be health without peace & social justice, and there cannot be peace & social justice without health.¡±-Dr. Victor Sidel","2016-11-24 23:40:00",149,389,28049,"False","2020-07-25 12:08:48","Thankfully I am an epidemiologist working w/ #COVID19 on a daily basis &amp; recognized my symptoms right away. It also¡­ https://t.co/EBdctvXd79","['COVID19']","Twitter for iPhone","False"
"31","#FliptheSenate #HoldtheHouse #BLM #ArrestTrump","florida","Hate the Orange Nazi Asshole, GOP,""Christian"" conservatives. I'm a fan of truth, justice & the progressive way, of rights for all. #resist #FBR NoDMs NO LISTS","2017-07-27 19:20:51",2617,2773,3,"False","2020-07-25 12:08:33","Dear @realDonaldTrump There is little logic in your argument that more testing will result in more cases of¡­ https://t.co/hm1WdWUxFK","","Twitter Web App","False"
"32","Gerald Posner","florida","Author + award-winning investigative journalist. Latest book is PHARMA ""a pharmaceutical version of cops and robbers"" NYT. Chapter 51 is ""The Coming Pandemic""","2008-12-08 02:17:52",6253,753,9412,"True","2020-07-25 12:06:50","I will be talking about #COVID19 #vaccines with @smerconish on CNN at 9:25am EST this morning https://t.co/gH0IF1iNdA","['COVID19', 'vaccines']","Twitter for iPhone","False"
"34","Rhonda Mangus","new york","#NewYorker #ProLife #ProLGBTQ #2ADefender #HumanRights #CivilRights #ParentRights #ThinkingAllowed #QEverything #BackTheBlue Retweets/follows ¡Ù endorsement","2010-11-07 14:31:10",1981,3570,13121,"False","2020-07-25 12:06:23","#America has a problem and IT IS NOT #COVID19 

Shocked? #MarxistBLM brought America to its knees! Sad!¡­ https://t.co/3xuQ8LBOZH","['America', 'COVID19', 'MarxistBLM']","Twitter Web App","False"
"35","WV Federation of Democratic Women","west virginia","","2013-09-03 12:08:02",8011,6994,9148,"False","2020-07-25 12:05:03","Positive cases of #COVID19 have increased. Be safe out there today, Friends! Let¡¯s protect each other. 
#maskupWV¡­ https://t.co/0AJFsQS4el","['COVID19', 'maskupWV']","Hootsuite Inc.","False"
"36","Sharlyn Lauby","florida","I'm the author of @HRbartender & @UnretirementPro. And a management/leadership consultant. My personal goal is to find the world¡¯s best cheeseburger.","2008-04-17 15:22:45",34183,16766,758,"True","2020-07-25 12:04:03","How #COVID19 Will Change Work in General (and recruiting, specifically) via/ @ProactiveTalent #Recruiting¡­ https://t.co/KWwLaPiuP5","['COVID19', 'Recruiting']","Buffer","False"
"37","Jennifer Coleman","virginia","Army veteran. Golf fan. History buff.  Scorpio.","2013-11-27 15:43:31",1180,353,71870,"False","2020-07-25 12:03:40","@Pensmoc Man, you get better.
At least your sense of humor, is all good. <U+0001F60A>
The #coronavirus #COVID19 is NOT a hoax.¡­ https://t.co/dTYCIvuU1u","['coronavirus', 'COVID19']","Twitter for Android","False"
"38","The AssarV10 Team<U+2122><U+00A9>","california","The AssarV10 Team<U+2122><U+00A9>","2015-12-23 07:40:38",2565,779,9732,"False","2020-07-25 12:01:47","C.D.C. Calls On Schools to Reopen, Downplaying Coronavirus Risks https://t.co/7ElqAhk4p4  <U+0001F448> click the link¡­ https://t.co/3qDDuZWtYJ","","assarofficial","False"
"39","Summit_Home_Care","new york","Trust Summit","2015-05-08 23:09:40",34,235,0,"False","2020-07-25 12:01:28","Please remember when heading out, to avoid big crowds, social distance, and wear a mask. Together we can help stop¡­ https://t.co/Ep3BAOZtUJ","","Hootsuite Inc.","False"
"40","Mike North","illinois","media consultant and pitchman.... radio host @espn1000 @bearsbarroom  and Chicago guy","2010-05-14 19:45:55",115575,801,54166,"True","2020-07-25 12:01:24","@SJerseyPete 99% survival rate and sad for the 140,000 now check out the survival rate for liver cancer! 50;000 fol¡­ https://t.co/ZJika9m140","","Twitter for iPad","False"
"41","Wemos","new york","Wemos advocates the right to health of people worldwide. #HSApartners #UHC #globalhealth #financeforhealth #HRH #access2meds #healthworkers","2009-06-03 09:25:59",3126,3859,2532,"False","2020-07-25 12:00:22","#COVID19 has clearly exposed the cracks in #healthsystems worldwide. That is why we urgently need to invest in thes¡­ https://t.co/0HBzng5E2m","['COVID19', 'healthsystems']","Buffer","False"
"42","AFT-Wisconsin","wisconsin","The official Twitter account of AFT-Wisconsin, a public-sector labor union. Retweets and follows do not constitute endorsements.","2014-01-09 23:09:11",628,996,781,"False","2020-07-25 12:00:01","So far...

#COVID19 #BackToSchool2020 #ReopeningSchools https://t.co/T5QruK7xOp","['COVID19', 'BackToSchool2020', 'ReopeningSchools']","TweetDeck","False"
"43","FOX 5 Atlanta","georgia","More local news than any other station in the Atlanta area. Home to @GoodDayAtlanta @FOX5StormTeam @FOX5Sports @SKYFOXTraffic and more! #fox5atl","2008-12-03 14:09:12",630612,1628,8697,"True","2020-07-25 12:00:01","It's okay not to feel okay.
Call the #Georgia #COVID19 #Emotional Support Line which provides 24/7 #free and¡­ https://t.co/iVGHU4FM2K","['Georgia', 'COVID19', 'Emotional', 'free']","TweetDeck","False"
"44","W. M.","maine","Politics, sports, food, social commentary. Fan of all New England pro teams.","2011-02-17 18:05:44",9861,9718,20327,"False","2020-07-25 11:59:42","4 consecutive days with 1,000+ #COVID19 deaths. Last time that happened was May 19-23. But don't worry, Trump says¡­ https://t.co/ZrCdKSzkaR","['COVID19']","Twitter Web App","False"
"45","Healthy Air Alliance","california","We are a coalition dedicated to promoting healthy air.","2019-03-29 19:54:11",16266,64,5,"False","2020-07-25 11:59:00","People of color are disproportionately exposed to toxic air pollutants ¡ª resulting in increased #COVID19 mortality¡­ https://t.co/pBHmTFk27b","['COVID19']","Sprout Social","False"
"46","Freedom <U+2764><U+FE0F>#BackTheBlue<U+2764><U+FE0F> <U+0001F1FA><U+0001F1F2>#Trump2020<U+0001F1FA><U+0001F1F8>","new york","Conservative against Big Brother Govt invading my life and home. I support our Troops & Law Enforcement #Trump2020 #KAG #MAGA 
I follow back all Patriots","2009-03-24 17:39:50",3644,4950,6327,"False","2020-07-25 11:58:55","Wake up America! 

New Jersey can close gym that defiantly stayed open amid #COVID19, judge rules:¡­ https://t.co/0BZ4gRN9Rs","['COVID19']","Twitter for Android","False"
"47","Emma Hudson","washington","Big #Tech - Developer of #ChatBots - Lover of #Space photos!","2018-03-15 04:31:27",14441,11030,7763,"False","2020-07-25 11:58:36","The @UniofOxford has been tracking the severity of #covid19 lockdowns and the results show that the response is not¡­ https://t.co/LeGocrB1EJ","['covid19']","Twitter Web App","False"
"48","SPJ New England","massachusetts","The New England Professional Chapter of @spj_tweets I Representing New Hampshire, Vermont, Maine, Massachusetts and Rhode Island https://t.co/vVJEhNUqrZ","2017-04-21 20:42:04",1132,1244,1018,"False","2020-07-25 11:58:26","Here is video from our ""#OpenGov During the #COVID19 Pandemic: Transparency Challenges in New England"" discussion f¡­ https://t.co/Lsn3abFGJK","['OpenGov', 'COVID19']","Twitter Web App","False"
"49","One of the hated white, straight, males.","texas","Saved by Grace; proud Texan; suffering fan of Dallas/FtW sports; amateur political commentator. I also torture myself with Camp Gladiator workouts.","2018-01-28 20:21:44",328,1490,2573,"False","2020-07-25 11:58:17","@charliedougan74 If masks are so effective against #COVID19 then why are the positive tests numbers climbing?","['COVID19']","Twitter for iPhone","False"
"50","COVID-19: The Numbers","florida","A robot that tweets the numbers behind COVID-19. Built by @al5ina5.","2020-07-21 08:53:29",14,87,3,"False","2020-07-25 11:58:01","#Coronavirus in #Nigeria: There is a total of 39,539 confirmed cases of #COVID19.","['Coronavirus', 'Nigeria', 'COVID19']","Sebastian's Twitter Bot","False"
"51","Rollen Quail Farm","florida","Rollen Quail Farm - Your online source for quality fresh coturnix quail hatching eggs. Pharaoh quail,  jumbo coturnix quail, brown coturnix quail, Germ","2020-02-15 06:07:43",2,5,3,"False","2020-07-25 11:57:29","Rollen Quail Farm, for the best in quality, always fresh jumbo brown coturnix #Quaileggs for hatching. Shipped to y¡­ https://t.co/JyuznmxQ8f","['Quaileggs']","Twitter for Android","False"
"52","Sarah Birken","north carolina","Assoc Prof @wakeforestmed | co-host @AcaDamesPodcast | she/her/dame","2015-09-25 15:39:50",1975,1492,7855,"False","2020-07-25 11:55:38","For me, that means presenting pretty femme, having a (pre-#COVID19!) pixie cut, wearing makeup when I want, not whe¡­ https://t.co/PGZdjaMWt1","['COVID19']","Twitter for iPhone","False"
"53","Marcy, PharmD <U+0001F48A><U+0001F499><U+0001F30A>#FBR","washington","#WearAMask <U+0001F637> <U+0001F3F3><U+FE0F><U+200D><U+0001F308>#EqualityAct #Resist #BlueWave <U+0001F30A> #BlackLivesMatter #Pharmacist <U+0001F6D1>MAGATs & Bigots = Block<U+0001F6D1> #LGBTQVoices <U+0001F308>","2011-08-13 19:52:39",564,660,1954,"False","2020-07-25 11:54:34","@ArikTheBuilder @JorjaBGood @ptlovebird @lindapotyrala13 @SJWanalyzer @HillaryClinton All happening during the¡­ https://t.co/4epKacL018","","Twitter for iPhone","False"
"54","Megan Driscoll","massachusetts","Author, Speaker, Coach, Equality Warrior, Entrepreneur, Wife & Mom to Maddy & Bailey","2011-05-05 18:23:28",50,91,8851,"False","2020-07-25 11:53:56","Such beautiful chaos! My midsummer garden is quite the metaphor for life at the moment. So many things to be gratef¡­ https://t.co/LTqx20TTou","","Buffer","False"
"55","Mark Studebaker","michigan","Father, husband, coder, weekend athlete, Muppet, and general skeptic","2009-07-03 14:36:24",34,147,531,"False","2020-07-25 11:53:21","We have been doing it wrong all along. That's why #COVID19 is still spreading. It's the only explanation. @cnn is r¡­ https://t.co/urNeOpmJ7I","['COVID19']","Twitter Web App","False"
"56","Irishlck58","texas","I¡¯m a badass believer in Human Rights. Live-Love - Laugh & #Resist! RT's are just retweets #LGBTQ #Biden2020 #BLM","2011-05-25 18:00:33",1396,1970,7720,"False","2020-07-25 11:52:21","Just watched an ambulance roll up to hospital. 3 EMTs got out w/patient. Not 1 EMT wearing a mask. #COVID19 #ItsReal #Oklahoma","['COVID19', 'ItsReal', 'Oklahoma']","Twitter for iPhone","False"
"57","Colin E Evans","illinois","Research Assistant Professor @NorthwesternU | Lung & Vascular Bioscience @AHA_Research | Alumnus @Cambridge_Uni & @KingsCollegeLon","2020-05-07 19:27:00",88,350,103,"False","2020-07-25 11:52:02","In case you missed it, here¡¯s the now retracted article that triggered #MedBikini...
https://t.co/E9cTVccOXL

An ID¡­ https://t.co/iqFfoRsHWk","['MedBikini']","Twitter for iPhone","False"
"59","The AssarV10 Team<U+2122><U+00A9>","california","The AssarV10 Team<U+2122><U+00A9>","2015-12-23 07:40:38",2565,779,9732,"False","2020-07-25 11:50:38","Judge Blocks Deportation Of 16-Year-Old Boy Who Claims Trump Is Using The Coronavirus As An Excuse¡­ https://t.co/nriRxIwdkX","","assarofficial","False"
"60","Andrea Ortiz Boyer","pennsylvania","Daughter of God, Catholic, wife, Bilingual/ ESL / Spanish teacher","2017-11-10 20:14:46",111,781,2089,"False","2020-07-25 11:50:31","Seven years after this TED Talk, what can we glean from it for education of children during the Covid-19 pandemic?¡­ https://t.co/bFXzAS8Wyt","","Twitter for Android","False"
"61","Mike North","illinois","media consultant and pitchman.... radio host @espn1000 @bearsbarroom  and Chicago guy","2010-05-14 19:45:55",115575,801,54166,"True","2020-07-25 11:50:04","@SJerseyPete Was friends with Walter and he had the worse kind of cancer...he and anyone else would take #COVID19 c¡­ https://t.co/OqqM7VkDdP","['COVID19']","Twitter for iPad","False"
"62","<U+0001D696><U+0001D698><U+0001D69C><U+0001D68E><U+0001D69C>.","michigan","¡°<U+0001D692>¡®<U+0001D696> <U+0001D697><U+0001D698><U+0001D69D> <U+0001D68A> <U+0001D69B><U+0001D68E><U+0001D68A><U+0001D695> <U+0001D699><U+0001D68E><U+0001D69B><U+0001D69C><U+0001D698><U+0001D697>. <U+0001D692>¡®<U+0001D696> <U+0001D68A> <U+0001D695><U+0001D68E><U+0001D690><U+0001D68E><U+0001D697><U+0001D68D>.¡° ~ <U+0001D693><U+0001D68E><U+0001D68A><U+0001D697>-<U+0001D696><U+0001D692><U+0001D68C><U+0001D691><U+0001D68E><U+0001D695><U+0001D68E> <U+0001D68B><U+0001D68A><U+0001D69C><U+0001D69A><U+0001D69E><U+0001D692><U+0001D68A><U+0001D69D> <U+0001F596><U+0001F3FD> @mustafaaltd","2009-12-04 13:16:05",597,296,53134,"False","2020-07-25 11:48:40","HEY!!! Shut it down, start over, do it right ~ @TheDemocrats @GOP @realDonaldTrump @SpeakerPelosi @senatemajldr¡­ https://t.co/kH1FaNeK9z","","Twitter for iPhone","False"
"63","Robert G Brown","new jersey","Minister of God practicing psychotherapy as a student teacher under Jesus Christ.","2020-06-20 13:08:08",4,3,75,"False","2020-07-25 11:47:37","what I am afraid of

#thankyouholyspirit #SpeakingOut #Science #COVID19 #kids #findmaryj #fearwomen #twitch¡­ https://t.co/pTZZJogQKm","['thankyouholyspirit', 'SpeakingOut', 'Science', 'COVID19', 'kids', 'findmaryj', 'fearwomen', 'twitch']","Twitter for Android","False"
"64","Carol McCarthy","connecticut","Ancora imparo  ¡ªRTs not necessarily endorsements","2015-11-22 18:36:05",222,708,4565,"False","2020-07-25 11:45:44","So, if you do not live in New England, Hawaii or N.Y., @CharlieBakerMA wants you to stay the heck out, unless you q¡­ https://t.co/xADG1iGMGu","","Twitter for iPhone","False"
"65","Wilson","north carolina","","2009-09-09 00:46:25",458,386,92587,"False","2020-07-25 11:45:35","Long but revealing piece about #COVID19 #coronavirus #vaccine https://t.co/HYPUXYvWta","['COVID19', 'coronavirus', 'vaccine']","Twitter for Android","False"
"66","SpiritOfHope","hawaii","Believer in life outside of Twitter. I tweet what I feel¡ªnot moved by idiocy in life or online. Make waves or be washed away #NotMeUs","2010-10-31 07:03:46",589,458,28803,"False","2020-07-25 11:43:21","@GovHawaii Spain¡¯s mistake: reopening after mild success because they rely on tourism.

New cases breaking Hawaii d¡­ https://t.co/I5rYVPh5P5","","Twitter for iPhone","False"
"67","COVID-19: The Numbers","florida","A robot that tweets the numbers behind COVID-19. Built by @al5ina5.","2020-07-21 08:53:29",14,87,3,"False","2020-07-25 11:43:01","#Coronavirus in #Egypt: There is a total of 4,518 confirmed deaths from #COVID19.","['Coronavirus', 'Egypt', 'COVID19']","Sebastian's Twitter Bot","False"
"68","Anne Zeiser","massachusetts","#Transmedia producer #SocialChange #ImpactProducer #MediaStrategist; Founder Azure Media; Author https://t.co/grr25HwlUi; Tracks #MediaImpact Formerly @PBS @CBS","2008-07-29 17:01:48",801,2439,2618,"False","2020-07-25 11:42:23","In a 5-4 vote, the @SCOTUSblog rejected a Nevada church's request to block enforcement of state restrictions on att¡­ https://t.co/T2Gq1eCxMF","","Twitter for iPhone","False"
"69","CheyenneDogSoldier","california","USMC combat Vet. CA Police Det with extensive experience in child abduction Vietnam M60 Machine Gunner.Mike Company 3/7 Honorary Colonel Alabama National Guard","2014-06-05 01:12:07",148,212,2570,"False","2020-07-25 11:42:21","You can¡¯t get #Covid_19 handing out sandbags in Florida Maybe this is why Florida has a big problem¡­ https://t.co/NSifmtGMWN","['Covid_19']","Twitter for iPhone","False"
"70","Jason Scott-Warren","massachusetts","climate activist, material texts maven. New book SHAKESPEARE'S FIRST READER out from UPenn.","2013-03-27 08:58:59",1907,1215,17237,"False","2020-07-25 11:42:11","John David Rhodes at the Corpus graduation ceremony 2020. #brighton #zoom #COVID19 https://t.co/yqxZVSGQqf","['brighton', 'zoom', 'COVID19']","Twitter for iPhone","False"
"71","Larry Felton Johnson","georgia","Editor and publisher of the Cobb County Courier. Retweets are what other people wrote.","2010-04-26 13:03:29",7155,4500,6607,"False","2020-07-25 11:41:52","WaPo has a good interactive list of a subset of #COVID19 national numbers at the bottom of https://t.co/jvGphO520Z","['COVID19']","Twitter Web App","False"
"72","Mentoring With Jeff","pennsylvania","My two passions in my life are providing Free Mentoring and opening my online store with the best high-paying affiliate programs and resources for my readers.","2015-11-29 00:07:05",3697,4951,53524,"False","2020-07-25 11:41:38","Survey Finds the Average Person Has Gained 7 Pounds During Quarantine

https://t.co/QzOW23Cmzs

I really am not hap¡­ https://t.co/oag7os6cSL","","Twitter Web App","False"
"73","Norsedaddy","minnesota","Dad, husband, environmental advocate,  camper, baseball coach,  social justice.","2012-01-16 14:42:12",33,445,3722,"False","2020-07-25 11:40:37","The last 5 months have really shown how impatient people are and how people are incapable of handling the loss of a¡­ https://t.co/gnxrhdQGVR","","Twitter for Android","False"
"74","Michael Quinn","virginia","LinkedIn Top Voice. EY Senior Manager & Founder of https://t.co/tlLgzuopAo. Army SGM (Ret) leading a campaign to reduce veteran unemployment & underemployment.","2015-11-17 22:23:10",127,102,32,"False","2020-07-25 11:40:23","This week I learned my son has been secretly training for a Zombie Apocalypse (or Broadway Play if you see the end)¡­ https://t.co/5t7zitl4jq","","LinkedIn","False"
