,senti,text,X,
30,0,"#DontDoThisAfterSex wear mask...make America great sane with Biden 
#COVID19 https://t.co/25tc5YWCPT",332,1
31,0,"@charliekirk11 I thought the players &amp; Dr. Fauci tested negative for #COVID19 ? And Charlie, he's a doctor Dr. some＃ https://t.co/zw1Oyebvx1",336,
32,0,"Out of all the stupid shit you've done in life, don't go out because you touched your face or refused to wear a mas＃ https://t.co/wKAZhBNMq7",343,
33,0,Laura Coates says AG Bill Barr has some explaining to do https://t.co/WeHEWTAdtW  <U+0001F448> click the link #plandemic #news＃ https://t.co/6y1mafjH54,356,
34,0,"#covid19 #CoronaVirusUpdate ""Muse wearbales"", the start up incubated at IIT Madras by an alumni group along with an＃ https://t.co/35KSeCsFbR",358,
35,0,"#COVID19 patients will be ＆sent home to die＊ if deemed too sick, #Texas county says https://t.co/Aagx5kJpXa
#StarrCounty #TX. #coronavirus",367,
36,0,A bunch of individual European countries could work together One Leader (psycho that he is) could not organize＃ https://t.co/gyvEmGOREZ,371,
37,0,"@GovSisolak 
Well... POTUS let the country down and now our own Governor. Total silence on #Covid19 since shutterin＃ https://t.co/iz0CjyFOi4",373,0
38,0,Give $2000/month to every American #moneyforthepeople #covid19 - Sign the Petition! https://t.co/UC120OCjyJ via @Change,382,
39,0,"Report: Fauci and family getting ""serious threats."" #Fauci #covid19 #covid19 #coronavirus  https://t.co/FT7cFhHb9X",392,
40,0,"By the time we make wearing a mask a habit and feeling normal when going to crowd and public, that is the time we k＃ https://t.co/h71tZPr3dH",418,
41,0,@realDonaldTrump it's time to flatten the curve. Hospitals are overwhelmed. Numbers of #COVID19 are way. Listen to＃ https://t.co/v7wDeMrJQU,419,
42,0,"We going dumb stupid or dumb on no man's sky! #VR #NoMansSkyDesolation 
#SupportSmallerStreamers #PSVR #COVID19＃ https://t.co/CMyruGGuDa",429,0
43,0,@POTUS You  have FAILED the American people. #AmericasGreatestMistake was electing such a tyrannical fraud.＃ https://t.co/GnQbSoHrDx,437,0
44,0,"This @afl season won＊t be remembered as the #Covid19 affected year. 

It＊ll be remembered as the worst year of＃ https://t.co/p4i02lfhLo",451,0
45,0,#COVID19 We＊ve got to be proactive about taking our health into our own hands by doing things to boost our＃ https://t.co/7eBj9o8Pqa,464,1
46,0,"I miss Broadway the most, my bestee and I was suppose to see @BeetlejuiceBway <U+0001F615> #PandemicSunmer #COVID19",467,
47,0,"@efoxband @KaceyecaK @HashtagRoundup Thank you! Forgive me, I was asleep, 4hrs ago. I work 1st shift...Good＃ https://t.co/swhnQDaqAs",470,
48,0,What about #COVID19??? HELLO? https://t.co/HOTaiuCJ05,474,
49,0,@LynnKawano May we all stay safe thru this #covid19 crisis &amp; hurricane season. <U+0001F919><U+0001F3FE>,487,1
50,0,"Do you even remember what ""normal"" was like?

#COVID19",512,0
51,0,@cmb127 @henrymcmaster Never talked about staying online... Our teachers are ready for in class instruction as soon＃ https://t.co/jMqMc2J5fk,536,
52,0,"5 Words to remember, ""Americans Will Keep Dying Daily""
#COVID19",556,0
53,0,Portand protests: 18 people face federal charges after arrests at courthouse https://t.co/NlN436xV89  <U+0001F448> click the l＃ https://t.co/ITzng1MpCi,588,
54,0,This would be good for the next #COVID19 stimulus bill @JohnCornyn @SenTedCruz @RepMcCaul! Support the folks that n＃ https://t.co/ORxmtpScBs,594,
55,0,Take a break from stressing over #COVID19 and #bb22 rumors this weekend and binge @SequesterAccess on Youtube. Had＃ https://t.co/pD1q7MXfSq,609,
56,0,5-year-old is among latest coronavirus victims as Dallas County again reports case total under 750＃ https://t.co/pUtqnLWlKV,616,
57,0,#COVID19 Community Mobility shows increased mobility around parks and outdoor recreational areas.＃ https://t.co/RnHzoePuPC,624,
58,0,The same people who got Dr. Fauci to pitch for their baseball team are listening to athletes＊ advice on how to deal＃ https://t.co/kYkwem7V6G,625,
59,0,@HotlineJosh Everyone wondered what would happen if #Trump had to face a major domestic or international incident -＃ https://t.co/S2V1FBeaFZ,627,
60,0,"@taylorswift13 <U+0001F339>

exile 

feat. @boniver 

https://t.co/JLduqfNFe7 via @YouTube

<U+0001F4F1><U+0001F947><U+0001F3B6><U+0001F3B5>

#IMOPresents #happynerdgirl＃ https://t.co/nbdIkP9RIi",629,
61,0,"""If the Covid ＆long-haulers＊ do go on to be diagnosed with ME, I only hope they don＊t endure the same suffering tha＃ https://t.co/nZ726K3C64",632,NA
62,0,@Angels You＊re not allowed to clear your throat anymore #covid19,646,
63,0,"@Mike_Pence @realDonaldTrump Effect...§...A South Korea study of nearly 65,000 people found that people ages 10 to＃ https://t.co/201pjk1W2p",653,
64,0,This T-Shirt Fights Covid-19 treat people with kindness @Harry_Styles #charity #stayhome #covid19 #harrystyles＃ https://t.co/U6LEp889t8,669,1
65,0,"Really @GregAbbott_TX ?
It sure isn't like that in the Texas I live in! 197 deaths yesterday and your bragging that＃ https://t.co/DnDH2GXuI4",674,
66,0,"Well, that's...ummm...reassuring. 
#COVID19 #musicians #localgigs https://t.co/481pCjWO4O",681,
67,0,@DavidNakamura This is your go to #COVID19 guy. Not wearing a mask.  Next to someone also not wearing a mask. https://t.co/b2pbwwvVyL,686,
68,0,Pinehaven #LongTermCare team members have regular #covid19 testing as we continue to put the safety of the resident＃ https://t.co/p2N5nySYTq,692,
69,0,@RepShipley As someone barley 30 who wrote a Will recently as I have autoimmune issues that cause immune system to＃ https://t.co/6J5eBUT8ox,708,
70,0,"2,977 people died in 9/11 = #NeverForget

7,000 people dying of #COVID19 in one day = <U+0001F937><U+200D>﹥<U+FE0F> https://t.co/xr8fEvB2aG",717,
71,0,Infrastructure contractors in #India are facing difficulties in fulfilling 'essential' services due to #COVID19. He＃ https://t.co/64cBdWmbpE,720,
72,0,"#FridayMotivation I am very happy to say on our errands today to gas up, etc. in the 3 stores we visited in western＃ https://t.co/Hdnc8M7QSu",731,1
73,0,@labspokane Bravo @WallaceChamber They know what happens when you play chicken with mother nature. #wallaceidaho do＃ https://t.co/gB4JBuFBsW,742,
74,0,"#BadComedian:

""Study of #Covid19 behaviors confirms those with stanky breath are most resistant to wearing #FaceMasks.""",754,
75,0,Best kids ever! #Summer2020 #COVID19 #covidsummer https://t.co/eeYt1rZHF2,762,1
76,0,"Hey Christians,

I may not be one of you, but I support your RIGHT to practice your religion. Anyway...

Since when＃ https://t.co/ScqJzLgGdP",767,
77,0,"#COVID19 Cases &amp; Deaths, accumulated and today, Total US and by State: https://t.co/dP0tTkly3l",770,
78,0,"Letter signed by &gt;150 medical experts, discussed on tonight's @maddow.

#COVID19 https://t.co/IjJBBOU21Z",785,
79,0,594 new cases and 3 new deaths reported in Michigan for the #COVID19 Update,792,
80,0,Not happy at all. Tonight sucks. Now I can＊t even work for 10 Days. #FloridaCovidEpicenter  #Floridacoronavirus＃ https://t.co/5m3WnDOPSD,816,0
81,0,We crunched the data to uncover how #freelancers have been impacted by the #COVID19 pandemic. See what we learned o＃ https://t.co/01Liyu5qU8,824,
82,0,@delawareonline @JohnCarneyDE  still not doing anything effective (except practicing his selfies)  #COVID19 https://t.co/U0oIx6KLHf,831,
83,0,"#BreakingNews 
#TruthMatters 
@realDonaldTrump 
@VP
@PressSec 
@KellyannePolls 
Does this sound like the virus is u＃ https://t.co/hFwz9l7DTs",836,
84,0,"Representing us #Zebras who are immunocompromised. Keeping safe!

#COVID19 #StayHome @netcancerfound＃ https://t.co/b2sKaMbIg7",846,
85,0,Hey @BillGates - why don't you fund this SIGNIFICANTLY less expensive option to combat #COVID19 ?https://t.co/GlP01SWruL,858,
86,0,I＊m think I may have to fight my nurse TF you mean inconclusive?!?? I haven＊t shed tears in years!!! #COVID19 <U+0001F62B> https://t.co/cPfb9UHEaC,864,0
87,0,@GadiNBC I took one in San Francisco and had results in &gt; 24 hours. Why can't that happen everywhere? #COVID19,866,
88,0,"The Five Best Things About the Coronavirus Pandemic 
#writingcommunity #covid19 #coronavirus #amwriting＃ https://t.co/gOvHqzARIc",867,1
89,0,"#COVID19 

Fourth straight day of &gt; 1,100 deaths, first time that has happened since before Memorial Day.

Highest＃ https://t.co/1zHZKA9twu",870,
90,0,What Do Countries With The Best Coronavirus Responses Have In Common? Women Leaders #Covid19 https://t.co/kp4XVVReJN,881,
91,0,Starr County Memorial Hospital has limited resources and doctors are going to have to decide who receives treatment＃ https://t.co/y4wV83qFId,883,
92,0,Small-business owners are realizing they are the victims of another Trump con ... <U+2066>@POTUS<U+2069> <U+2066>@realDonaldTrump<U+2069> <U+2066>@GOP＃ https://t.co/g9M8N7w68z,915,
93,0,#Oregon &amp; #California had the highest number of #COVID19 deaths in one day today @CNN reports.  The virus is no res＃ https://t.co/wc7MJNeXZ1,950,
94,0,"Note: when the lieutenant governor says you＊ve fucked up by airing some #COVID19 conspiracy theory bullshit, you kn＃ https://t.co/8Sy2EcW4EW",979,
95,0,"@gtconway3d @JonnySolstickan Hell, he golfed. #COVID19 #146000dead",982,
96,0,There is a 2nd Danny Devito that is a PA State Rep 45th legislative dist. He is a law clerk &amp; a GOP ReTHUG. <U+0001F92E><U+0001F92E><U+0001F92E><U+0001F92E><U+0001F4A9><U+0001F4A9><U+0001F4A9>＃ https://t.co/IM1AEXQPpb,1030,
97,0,wef: Hugging a tree in Israel to beat the coronavirus blues https://t.co/Mm4tlP5mVI #Israel #COVID19 https://t.co/YeMdxbWtaC,1032,
98,0,wef: COVID-19: Could your earliest symptoms predict how ill you＊ll get? https://t.co/y35LeW8iVF #covid19＃ https://t.co/taqWvJgV5n,1033,
99,0,"Put on a mask, shouldn＊t have to ask   #covid19  #plussize #effyourbeautystandards #black #purple #louisiana https://t.co/pwkUTapKRx",1046,
100,0,@BryanAGraham @realDonaldTrump how is the #COVID19 strategy coming along?,1053,
101,0,should＊ve been at a @justinbieber concert today <U+0001F97A> #COVID19,1081,0
102,0,A Guide to New York's New Restaurant Grading System | Serious Eats #COVID19  https://t.co/KzI759Arly,1083,
103,0,My mother has recently passed this month due to #COVID19 aka #Coronavirus<U+26EA><U+FE0F><U+2764><U+FE0F><U+0001F97A> and I wanna do some good in this wor＃ https://t.co/MdxBjeijfF,1091,0
104,0,@CDCDirector   NEWS: #LexaGene announces the hiring of its first wave of salespeople to support the commercial laun＃ https://t.co/mYLdPsqWKM,1104,
105,0,@realDonaldTrump   NEWS: #LexaGene announces the hiring of its first wave of salespeople to support the commercial＃ https://t.co/yA9nxUpOl5,1105,
106,0,"<U+0001F338><U+270B><U+0001F33C><U+0001F637><U+0001F4AE><U+0001F450><U+0001F338><U+0001F637><U+0001F33C><U+270B><U+0001F4AE>
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety#onlineshopping #socialdistancing＃ https://t.co/s5OuRN74aw",1119,
107,0,SARS-COV-2 Nsp16 protein helps it evade innate immune system. Targeting it via repurposed drugs like Raltegravir &amp;＃ https://t.co/mpd9vnt4qs,1120,
108,0,Excellent review of general immunology with special attention to mechanisms related to #COVID19 infections https://t.co/NQWqY8kO2l,1137,1
109,0,Wearing a mask would make them look stupid eh... #COVID19 https://t.co/CAB6cZUs04,1154,
110,0,"Right Now......LIVE... 
Portland protests!!!

 #PortlandProtests 
#PortlandRiots #PortlandKidnappings＃ https://t.co/sxjje34ldH",1156,
111,0,"Don't forget to <U+2764><U+FE0F>, retweet, and follow me for some much-needed info about insurance.  And if you live in Texas, se＃ https://t.co/jyOHD5qQbw",1161,
112,0,"You don't really recover from #COVID19 
you survive it",1164,
113,0,"Must read: All Masks Are Not Created Equal #COVID19 #WearAMask
https://t.co/pTDdZRjov5",1168,
114,0,"#FakeChristianMorrison looks to Bully/Blackmail 
Senior Homes to Force them to 'Act' as if the #Covid19 Threat is O＃ https://t.co/qf5nUlG6eZ",1183,
115,0,"CDC: #COVID19 deaths forecast to rise next 3 weeks, toll to rise as high as 175,000 by Aug. 15. Higher numbers in F＃ https://t.co/fO1um8MX45",1185,
116,0,"Upon arrival to the reception battalion at the Army Training Center, #FutureSoldiers are screened and tested for＃ https://t.co/2zB6eEwuhf",1204,
117,0,Help US-trained international physicians continue to provide excellent healthcare to Americans. Please include＃ https://t.co/PnsFBvlp3K,1208,
118,0,Help US-trained international physicians continue to provide excellent healthcare to Americans. Please include＃ https://t.co/4CJjnYuzml,1216,
119,0,Have you ever seen a clearer <U+0001F595> to American citizens from their own @POTUS as they struggle w/the consequences of hi＃ https://t.co/tQyGMkYHLT,1220,
120,0,"Today I got to see my brother, who has a medical condition that puts him in a #COVID19 high-risk category. He basic＃ https://t.co/X6zpHRa743",1226,0
121,0,Going to switch to this layout instead of the lame screenshots. Hopefully it will be easier to read. With each upda＃ https://t.co/TbmAkvzS8P,1230,
122,0,@thehill It's too dangerous for 'dear leader's' criminal friends to remain in jail to serve their sentences... But＃ https://t.co/d20DpAbusv,1237,
123,0,@thehill It's too dangerous for 'dear leader's' criminal friends to remain in jail to serve their sentences... But＃ https://t.co/WMNoGGS8sH,1242,
124,0,"@TheTNHoller All the time being wasted preparing classrooms for this inevitable failure, would be best used for str＃ https://t.co/ioVfBvtyay",1251,
125,0,But rioting and looting is a free pass for #COVID19 NOT. You bunch of hippocrites!!! https://t.co/0yyQdlaz3B,1272,0
126,0,@dk2light People are still being affected by #Covid19,1279,
127,0,"According to a @kroger customer in Tillamook, Kroger＊s corporate office told their affiliate in Tillamook that they＃ https://t.co/39s5SmcyVk",1291,
128,0,".@MSNBC
.@NPR
.@ABC
.@NBC
Media best get the actual truth out and forget about trump being 'angry' with them. Stand＃ https://t.co/GzFWgekY9m",1293,
129,0,"The US topped 3 million confirmed #coronavirus cases on 8 July.
A little over two weeks later, the country has<U+00A0>surp＃ https://t.co/8SyjfcFLjT",1304,
130,0,"How does #coronavirus kill? Clinicians trace a ferocious rampage through the body, from brain to toes
#COVID19＃ https://t.co/4OURPYO7eT",1309,
131,0,@RawStory @RadioFreeTom @realDonaldTrump; patron saint of #COVID19 https://t.co/RPf1lRsglf,1314,
132,0,Give $2000/month to every American #moneyforthepeople #covid19 - Sign the Petition! https://t.co/nANLrTNTJM via @Change,1318,
133,0,"@realphilhendrie Donald didn＊t care about the 1,110 Americans killed by #COVID19 just today.",1330,0
134,0,Some candidates are already entering phase 3 trials. #COVID19 #MedTwitter https://t.co/QgWjcYqk4u,1367,
135,0,"Face your fears and never give up.

We believe in you.

https://t.co/VitGernUbw

#youcandoit #achieve #hardwork＃ https://t.co/KQVYmyEBnp",1395,1
136,0,"Dear #COVID19 here is a well deserved Fuck You, for ruining shit for everyone. https://t.co/VTHlCj8u2P",1396,0
137,0,Going on week 4 of a state wide mask order yet numbers aren＊t coming down...supposedly. @houmayor @SylvesterTurner＃ https://t.co/0uyyC1nvwH,1399,0
138,0,I like how governors tell business you can't open due to #COVID19 but hey it's okay to protest in large damn crowds and we won't stop you.,1414,
139,0,"Haters are like crickets. They make a lot of noise, you hear it but you can't see them. Then right when you walk by＃ https://t.co/IORfNVpJDC",1434,0
140,0,"Thread by @ahandvanish: I just crossed the 4 month mark of being sick w' #COVID19. I am young, &amp;amp; I was healthy.＃ https://t.co/dDQLAIJ62l",1436,0
141,0,In general vaccine for kids are being developed following trials on adults. But pharma world is in rush now and the＃ https://t.co/RXtDUMXFXV,1451,0
142,0,Brevard County people are so pissed it is still going on. Our county is rising in Covid. Should be cancelled.＃ https://t.co/Rvq3X3XcjY,1470,0
143,0,"July 26, 2020, Day 132.

All the heat without benefit of vacation.
.
.
.
.
.
#quarantine #lockdown #wfh #covid19＃ https://t.co/vuwmhhhDyN",1473,
144,0,Many of us have believed this from the beginning. Covid is a hoax designed to derail and defeat Trump and usher in＃ https://t.co/NFePd1ZIRO,1474,
145,0,"@COVID_Scale @gtconway3d @realDonaldTrump These stats are a bit sterile. Mass deaths from far away, in time, or com＃ https://t.co/NROw0yHgzn",1480,
146,0,"BREAKING: Wish I could spend all day on the golf course, @realDonaldTrump, or sitting on my ass like @gop, but I'm＃ https://t.co/2Q8sNxHxgt",1486,
147,0,@real_defender @realDonaldTrump Red with the blood of the dead due to his incompetence with #COVID19 #Biden2020,1490,
148,0,"New vids coming soon <U+0001F60F><U+0001F60F>
<U+0001F447><U+0001F3FE><U+0001F447><U+0001F3FE><U+0001F447><U+0001F3FE>
https://t.co/YEq2ZZIVyp
#onlyfanspromotion #onlyfan #onlyfanslink #ContentCreator＃ https://t.co/qGi0jtuC1Z",1502,
149,0,"News station: ""What will parents do if schools don't re-open this fall?""

Me: ""Survive.""

#COVID19 #pandemic＃ https://t.co/5lqxBn8mJY",1505,
150,0,"@realDonaldTrump Just fix the #COVID19 mess you've made. Use the #Obama notebook, it has everything you need. And i＃ https://t.co/HNpuyXT4kT",1523,
151,0,"If schools are closed for to long, the Parents are going to find a Vaccine before the Scientists.
#COVID19",1528,
152,0,@1Boss_DC They＊re acting like #COVID19 is ONLY in the pool. Smh,1532,
153,0,"US Cities Need Masks and Tests, Mr. President, Not Shock Troops | Common Dreams Views #FascistTrump #COVID19 #COVID＃ https://t.co/nORyp71PZO",1537,0
154,0,"This is a @Russia Troll account

Only a Sociopath would speak about injured people with such cavalier disregard

Th＃ https://t.co/bD1gwWWeFn",1540,
155,0,"Our next collaborative session for #educators is this Thursday, 4-5pm AEST. 
.
.
We∩ll share some ideas, and we∩d l＃ https://t.co/a2BCV7XRH5",1542,
156,0,@ATLairport For what POSSIBLE reason are masks not mandated in your airport?! GA is welcome to their own pandemic c＃ https://t.co/le05dO4dth,1550,
157,0,I＊ve been alone in a hospital bed several times in my life and I can＊t stop thinking about all of the #COVID19 pati＃ https://t.co/HfigiuQn12,1568,
158,0,Support #remotelearning for students in Illinois #COVID19 https://t.co/yFj8ROFMpd,1569,
159,0,This right here!  Pardon the language but perhaps some of y＊all have to hear it this day!  #WearAMask #savealife＃ https://t.co/C0D8lkNrGU,1589,
160,0,You'd be ~ 1/4 of the way towards filling up a **THIRD** Raymond James Stadium in Tampa Bay w/ all of the Americans＃ https://t.co/W8HAgASpxL,1607,
161,0,"Anyone in a long distance relationship with an alien? <U+0001F47D><U+0001F49A><U+0001F47D>

https://t.co/lURvIKVAz0

#ufo #ufos #UFOs #alien #aliens＃ https://t.co/InY3S9RBbw",1612,
162,0,"This photo was taken the last time I was at a party, a week before #COVID19 &amp; lockdown went into effect. I miss soc＃ https://t.co/TRVaUQQjM5",1620,0
163,0,"This is true. So, wouldn＊t it be nice if our federal and state leadership decided they wanted to, oh I don＊t know,＃ https://t.co/I31crc3eSG",1621,
164,0,Defend it OR leave it! #BLM #100Days #COVID19 https://t.co/1Xms0RzUiU,1629,
165,0,"Sales: Mastering and Influencing Consumers Post COVID-19 - https://t.co/V4cBCGew34

To stay abreast of consumers an＃ https://t.co/ym3LGzt3HN",1633,
166,0,"Are you really testing positive for #COVID19? There's ""chance"" (how big a chance?) that they're just flipping a coi＃ https://t.co/Hi7AZFecVM",1641,
167,0,"#COVID19 #DeSantis #EndTheFear
#Truth this is happening in Ohio! People getting results in the mail without ever te＃ https://t.co/VbIjVcE71D",1660,
168,0,"Can we all please remember; currency is not wealth, but means of exchange!
#StimulusChecks #StockMarket #COVID19 #inflation #USA",1663,
169,0,Aerosol deniers seem to be of the same ilk as chronic Lyme deniers and ME/cfs deniers. Science wins eventually. Slo＃ https://t.co/nGcFz0TGcd,1667,
170,0,"I must remind my fellow #Catholics that being #ProLife goes beyond opposing abortion. Under #Trump, federal executi＃ https://t.co/asAjvP1FLe",1670,
171,0,Wearing a mask everyday for 8 hours with a couple of breaks has been quite uncomfortable for me. Respect <U+270A> for heal＃ https://t.co/Q2oLI2v408,1682,0
172,0,"@GregAbbott_TX @Whataburger I have questions.

1 How many medical personnel have died in the #RGV in the past month＃ https://t.co/XO04APsP11",1686,
173,0,So emotional<U+0001F97A><U+0001F62D><U+0001F494>I don＊t know how people in other states continue to be oblivious to #covid19 I didnt realize how tri＃ https://t.co/8PuzupCzPN,1706,
174,0,I＊ve got a friend going to Florida to stay in a house full of Missouri folks he doesn＊t even know. Full week.＃ https://t.co/BboQwRV9Te,1711,
175,0,"@NYGovCuomo Everything is/was
wrong with how,what &amp; when experts/politicians said anything about #Wuhanvirus＃ https://t.co/9QJyTO7HFv",1719,
176,0,"They truly wants US dead! Shouldn't a #COVID19 bill be about #COVID奈19 

#GOPCorruptionOverCountry https://t.co/K3B5eapT18",1723,0
177,0,Anyone else get about 20 emails yesterday telling them about the updated NICE self-isolation prior to elective surg＃ https://t.co/6Ko6rjJV0G,1755,
178,0,"https://t.co/Hlh7WtA2dx
Texas＊ count of virus deaths jumps 12% after state changes the way it tallies coronavirus f＃ https://t.co/4tjTZ7mqYi",1782,
179,0,@NYGovCuomo I seriously want to throw up each and every time you post anything regarding #COVID19 and social distan＃ https://t.co/7GEl3vNkoI,1784,
180,0,"@FLOTUS @WhiteHouse 200,000 Americans dead
1,000 Americans a day dying
You're the 1st lady of the United States
Wha＃ https://t.co/GcEtKjxxAk",1803,
181,0,I＊m clucking again. Outstanding column by my nephew <U+2066>@jtrentdorfman<U+2069> schooling <U+2066>@MLB<U+2069> about #COVID19: ※These rules＃ https://t.co/WB7CggUORz,1817,
182,0,This is good. Been buried in a lot of #research re #covid19 preparing for our #transitzone @transitzonepod trilogy＃ https://t.co/3aLeq119Dd,1844,
183,0,These 2 pages from the study <U+0001F447> clearly show why it is highly unlikely that SARS-COV-2 evolved naturally &amp; why it's＃ https://t.co/5ekvEKOOY9,1850,
184,0,Because #Trump is jealous.Only a #RealMan does the right thing. @realDonaldTrump is a #fraud. #Trump is jealous of＃ https://t.co/QU3z404MFe,1852,0
185,0,"Why is #socialmedia keeping this #important #health #information about #COVID19 away from us, #America? Let the＃ https://t.co/WAbr3sj23G",1854,
186,0,"With over 16 million COVID-19 cases, the pandemic is devastating developing nations - World Socialist Web Site＃ https://t.co/4DavgPTEsc",1904,
187,0,Honestly... No offense... But after all this #COVID19 crap is over? Some of y'all need to keep the mask on. It'll l＃ https://t.co/j98BCp3Kbv,1905,
188,0,@swatitweet @senatemajldr @sendavidperdue Include zero cost #S3599 in upcoming covid relief package #HEALSAct Incre＃ https://t.co/GN99Zdm9L7,1928,
189,0,@RealOmarNavarro @DonaldJTrumpJr @realDonaldTrump @stella_immanuel @RupaliChadhaMD Dude you＊re a damn stalker. Shou＃ https://t.co/IrVWncurss,1936,
190,0,New York didn't do everything right regarding #COVID19. We were hoping the rest of the country would learn from our＃ https://t.co/AXd8f0Qn0s,1961,
191,0,Hydroxychloroquine Treatment - cut the death rate significantly in hospitalized COVID-19 patients 每 without heart-r＃ https://t.co/q1pGkCirkQ,1985,
192,0,@tarang_chawla Freedom was a mistake. #COVID19 #AmericaWorst,1986,0
193,0,"@WORLDSTAR @CNN A #Walmart in Washington was just closed for several days in Washington state, because they failed＃ https://t.co/0enQPz15Tk",1987,
194,0,Everyone must give @larryelder ＆s Uncle Tom a watch. It opens your mind up and a few of my liberal friends have bee＃ https://t.co/2UQS1MvPL9,1989,
195,0,"Tourism during a pandemic, This couldnt possibly be unsafe.  maybe if you kept people from traveling out of town yo＃ https://t.co/OrpQHZ0zXW",1991,
196,0,I WANT Trump to ※turn things around§. I WANT less Americans dying of #COVID19. I WANT less Americans unemployed. I＃ https://t.co/2SYotnxaCC,1996,
197,0,"A group called America＊s Frontline Doctors held a press conference on COVID-19, #hydroxychloroquine, school closure＃ https://t.co/NbIo3Yaj1C",1997,
198,0,One less understood antiviral mechanism of #Hydroxychloroquine vs #COVID19 is it's CatB/L activity inhibition abili＃ https://t.co/R0KEd2mCaM,2000,
199,0,"#MLB is going to be tested in the coming days, #UFOs are real and nobody cares! #COVID19 will not go away....Is 202＃ https://t.co/37QM6qFrTE",2001,
